S/N,review_text,category
1,Cancelled 50% initial sale because we tried to apply a coupon... Unfair.,billing
2,Driver did not phone me I have 4 Giant great Dane's that I must closeup before they leave checkers in not one of the Zimbabwe drivers phone me then I have ordered 4 cokes 2l recieved 3 You're drivers are rude it's unexceptable!!!,delivery_shipping
3,"I'm dropping this review with mixed feelings because in the past, Glovo used to be authentic but now it seems they no longer value the health of consumers. The food I ordered from one particular restaurant seems to be inconsistent in taste and even appearance. And just recently (to back up this claim), a restaurant, CORPORATE EWA has called them out on IG. I don't know whose idea it was to impersonate restaurants and then buy food from the roadside and package it, but it's a very disgusting act.",product_defect
4,"I've been on here before, and I'd go through all of that stuff.And I buy the things to be able to get what I ordered but\n I never get the free stuff. I may get the other stuff that I purchased. But I'll never get any of the free stuff. It just keeps spinning that wheel saying well, buy this, buy this tree free. But then you gotta buy so much on the other and you do all that just to find out that you don't win 😌",general_inquiry
5,"Sucks service: sms confirmation doesn't work, acceptable support is absent",account_access
6,I think other people should choose kilimall items to be bestest,general_inquiry
7,"All my fresh produce that I ordered on the 17th were dated for expiring on the26th or 17th. Did they collect from the products that were pulled from the shelves? The carrots.!had brown ones in between. lettuce , baby tomato's (some with mould), mixed cut veg were all old and mouldy, or, at the best, had to be cooked immediately. I have had good experiences, but this - unbelievable.* I ordered again.. this time in Johannesburg.. and the chicken breasts once again : on expire date delivered!",product_defect
8,"I received an expired cake in my order today. Please investigate this issue. It would also be helpful to add a product rating feature so customers can rate the quality and freshness of individual items, not just the overall order. This would improve quality control and customer feedback.",product_defect
10,"Second time writing a review on this garbage app, after 2 hours of accepting my order, they still didn't even find a courier. never using it again. 2021 review: So for the 4th time in the last 2 months, I've tried to order food and they've left me waiting for more than half an hour to tell me that they don't have a courier to actually deliver my order. Absolute joke of a service in Croatia at this point.",delivery_shipping
11,It's just disappointing when you plan your day .... and you place an order selected delivery time slot and an hour later you noticed the delivery time has changed. this happened more than once now.,delivery_shipping
12,scam lalo na yung free item hinde nadating ... nakailang kuha nako sabi may gree basta makuha ung required item amount na need pero pag dumating na wala ung free item ung binili mo lng talaga .. uninstall nyu pag meron kayo nito,fraud_unauthorized
13,"The delivery service is poor. You delivered my order to a wrong location or address. I've tried to reach out to you many times i didn't get the help I needed. Even now my order hasn't arrived yes and it was supposed to be delivered to me on the 30 November before 5pm. Unfortunately i didn't get it. A customer did receive my order or parcel that Saturday, he called me he has my parcel I'm so extremely disappointed with the delivery service",delivery_shipping
14,"Worst 1st experience ever.......You won't see me ordering with you soon. Clearly stated expired date on the cheese ordered. Missing item, rude driver that put the food on floor at the door. 😔. You can do better guys.",product_defect
15,"I like takealot's app, but the return service is a 0/10. worst experience of my life. Be careful of what you order, lots of scams",refund_return
16,"Each time I open the app I see "" free gifts"" but then you are given a minimum amount of money to pay before you can get the free gifts. The last time I did this I ended up spending a lot of money and only getting 2 of the said free gifts.",general_inquiry
17,I find food delivery too slow compared to other delivery apps.,delivery_shipping
18,nice item,general_inquiry
19,"When you have a payment issue, you are not refunded. use at your own risk",refund_return
20,They are so slow with deliverys Amazon.co.za is faster with a weekend in between,delivery_shipping
21,What do you mean my items will be delivered before 17:00? So i should not do anything the whole day just because you cant be specific with your time?,delivery_shipping
22,"I use 60/60 extremely often and I've never ever received a freebee, you always see the same people posting on social media that they receive free stuff in the 60/60 order, but I never do. I order at least 4 times a month or sometimes more often than that",general_inquiry
24,Very nice app with affordable prices.,general_inquiry
25,New review. the clothes take up to a month to get to you. they delay shipping for weeks with no answers and they dont update your shipping destination and they lie about prices,delivery_shipping
26,"Please, fix address for Android devices! I can't set house number and floor with different fields (i have only one field to set 3 different types of information) and it's confusing delivery persons a lot! Otherwise application and the service are good",delivery_shipping
27,"Suboptimal delivery quality. Food arrived cold after travelling across town, visited other stops and then back for unknown reasons. It would have been a miracle when after spending 25+ minutes in a couriers car, that the food still remains hot.",delivery_shipping
